asn,count
137691,17
18176,17
20559,17
203953,17
399081,17
25490,16
201563,16
10242,16
41378,16
398968,16
30148,16
2497,16
51659,16
47671,16
14576,16
60404,16
13977,16
24547,16
25369,16
211439,16
6871,16
11664,16
48894,16
328364,16
393552,16
8612,16
35592,16
46690,16
23969,16
48716,16
11404,16
30036,15
7992,15
63199,15
210379,15
33588,15
2116,15
12574,15
56478,15
28753,15
140641,15
132721,15
31103,15
39642,15
18298,15
136787,15
57370,15
48896,15
18881,15
61207,15
56309,15
60976,15
30083,15
20860,15
35236,15
42708,15
9443,15
38719,15
45820,15
204119,15
60380,15
208414,15
8167,15
1403,14
34309,14
202242,14
136160,14
58772,14
38731,14
16735,14
2108,14
18106,14
39396,14
25577,14
134771,14
203476,14
32133,14
13371,14
60253,14
29014,14
27715,14
132325,14
2841,14
3491,14
11776,14
133159,14
140716,14
17557,14
202468,14
137702,14
47002,13
9572,13
58061,13
202984,13
55720,13
9929,13
9812,13
50926,13
42585,13
45352,13
6233,13
40680,13
59019,13
41108,13
200548,13
272432,13
34895,13
2579,13
31514,13
197451,13
9340,13
38841,13
3681,13
139734,13
206369,13
12468,13
196752,13
19429,13
212219,13
56005,13
48347,13
8452,13
134697,13
4739,13
224,13
27357,13
55688,13
5610,13
16253,13
52148,13
36666,13
197013,13
9924,12
134774,12
1836,12
135600,12
2107,12
9597,12
29066,12
134090,12
19624,12
138421,12
60068,12
36459,12
61211,12
53589,12
25542,12
30633,12
210906,12
137690,12
133752,12
976,12
138169,12
212552,12
57724,12
134420,12
30475,12
38913,12
30764,12
200831,12
60461,12
35540,12
139021,12
131,12
10103,12
25184,12
49683,12
9198,12
200088,12
61098,12
7482,12
140527,12
10326,12
203412,12
17,12
13370,12
210560,12
142002,12
206170,12
137697,12
327979,12
34549,12
209335,12
24086,12
23884,12
15456,12
6400,12
2641,12
29314,12
8365,12
2200,12
9050,12
22363,12
803,12
37100,12
42038,11
49581,11
133380,11
53850,11
1237,11
50372,11
140096,11
25,11
203417,11
41828,11
31503,11
59437,11
8359,11
8220,11
48383,11
62082,11
200083,11
55836,11
400304,11
17813,11
49392,11
4835,11
196954,11
36493,11
198414,11
132335,11
56044,11
51847,11
5391,11
45996,11
38844,11
20278,11
25248,11
136052,11
9762,11
3363,11
210079,11
34779,11
8339,11
278,11
9790,11
10036,11
8890,11
200719,11
58543,11
208161,11
134773,11
58212,10
21334,10
9158,10
6739,10
200698,10
12668,10
44489,10
13354,10
9316,10
46015,10
8455,10
9270,10
51432,10
9824,10
34233,10
45753,10
45974,10
44068,10
206566,10
17439,10
918,10
4685,10
28571,10
39608,10
13259,10
24139,10
212384,10
88,10
61414,10
8764,10
57033,10
44076,10
49055,10
43754,10
8893,10
58540,10
47377,10
10755,10
1955,10
53434,10
24641,10
17098,10
17547,10
15502,10
3323,10
4804,10
394727,10
6300,10
134760,10
50465,10
131778,10
55967,10
9674,10
44128,10
40994,10
50624,10
11650,10
134732,9
3758,9
54574,9
51395,9
11161,9
207199,9
199736,9
28126,9
7679,9
