port,count
4506,46
1947,45
8005,45
8098,45
6669,45
3790,45
10005,45
1610,45
2306,45
1290,45
11001,45
10040,45
10123,45
999,45
3479,45
6697,45
30001,45
311,44
6399,44
9004,44
8140,44
5061,44
3311,44
7171,44
264,44
4660,44
8161,44
19150,44
7199,44
18000,44
3310,44
2501,44
6004,44
2055,44
4449,44
8091,44
2160,44
4505,43
8529,43
523,43
2181,43
18245,43
9600,43
9295,43
6600,43
57780,43
7500,43
800,43
30312,43
4450,43
8097,43
7402,43
1777,43
7002,43
2223,43
6066,43
2404,42
7007,42
7014,42
8014,42
3097,42
69,42
1177,42
9006,42
8182,42
5560,42
8891,42
1311,42
6544,42
1201,42
10039,42
1830,42
32,42
50075,41
4440,41
14265,41
7779,41
6502,41
2480,41
7401,41
9334,41
2638,41
9191,41
7180,41
49156,41
6068,40
51434,40
6667,40
777,40
4430,40
9981,40
5678,40
7003,40
8686,40
9093,40
55553,40
4369,40
7548,40
3689,40
9919,40
7187,40
30050,40
13666,40
3749,40
7145,40
9108,40
4300,40
8093,40
18086,40
8092,40
84,40
18246,39
646,39
2049,39
2051,39
10250,39
4112,39
47808,39
1241,39
4800,39
8139,39
1200,39
32400,39
853,39
6080,39
4200,39
994,39
898,39
30311,39
7,39
2406,39
7144,39
1935,39
2064,39
8688,38
36,38
9092,38
3541,38
5400,38
7537,38
2396,38
9333,38
5820,38
1720,38
48899,38
16922,38
5080,38
90,38
30313,37
50060,37
2020,37
49151,37
8111,37
50070,37
58888,37
11310,37
2000,37
3179,37
143,37
11965,37
7780,37
8138,37
55436,37
3542,37
9754,37
9804,37
8009,37
1214,37
8818,37
5802,37
389,37
5236,37
3183,36
9458,36
3181,36
30,36
7004,36
12320,36
9869,36
9418,36
2869,36
880,36
12020,36
8095,36
55554,36
1901,36
876,36
8444,36
2024,36
2103,36
5443,36
50111,36
5918,36
37777,36
2003,35
221,35
1503,35
70,35
7712,35
2010,35
789,35
53490,35
4040,35
37215,35
9928,35
8332,35
9801,35
9,35
2030,35
104,35
9888,35
7010,35
54327,35
10243,35
57779,35
1494,35
7100,35
32412,35
901,35
20002,34
5258,34
53805,34
5084,34
37020,34
1023,34
8180,34
9944,34
4949,34
5111,34
9007,34
55388,34
2715,34
1260,34
1880,34
55200,34
6001,34
43,34
49665,34
30718,34
53484,34
6668,34
55442,34
20005,34
177,34
7474,34
9115,33
8096,33
5351,33
1026,33
51106,33
55470,33
9083,33
9051,33
55350,33
8234,33
79,33
6590,33
6443,33
8094,33
3005,33
13720,33
2809,33
5009,33
6346,33
20,33
801,33
33890,33
35342,33
54545,32
1028,32
1050,32
7070,32
666,32
55481,32
1911,32
7071,32
53482,32
2455,32
512,32
1521,32
16923,32
4500,32
5095,32
8500,32
5280,32
53485,32
9042,32
9900,32
31,32
771,32
41795,32
5427,32
20332,32
5050,32
8123,32
91,32
1801,32
9810,31
2107,31
3182,31
55490,31
11371,31
9050,31
9803,31
5288,31
53806,31
4022,31
4848,31
50090,31
113,31
11,31
9870,31
33338,31
1962,31
52881,31
53200,31
53480,31
30051,31
2600,31
9926,31
8222,31
1688,30
1042,30
52869,30
1029,30
1314,30
7878,30
9507,30
2002,30
5138,30
4711,30
2252,30
8848,30
9811,30
55055,30
49157,30
52536,30
9909,30
8866,30
3443,30
548,30
9885,30
50100,30
55080,30
9704,30
10035,30
53483,30
37810,30
23424,30
211,30
9160,30
6969,30
14147,30
3030,30
9922,29
9902,29
3312,29
9151,29
9229,29
57778,29
990,29
5577,29
3260,29
5550,29
6000,29
8999,29
44158,29
10332,29
2301,29
199,29
2105,29
8129,29
9455,29
8300,29
6268,29
50000,29
3184,29
900,29
10255,29
2601,28
1248,28
5873,28
1471,28
9690,28
631,28
54857,28
49667,28
49158,28
1900,28
9908,28
6082,28
52931,28
7634,28
9456,28
4880,28
7848,28
7288,28
18081,28
3690,28
13,28
34599,28
53481,28
9611,28
2222,27
99,27
6998,27
23791,27
9773,27
19530,27
50050,27
9779,27
902,27
53400,27
52311,27
5701,27
9916,27
7382,27
8480,27
54022,27
4110,27
19,27
9510,27
9444,27
7077,27
30310,27
3186,27
9505,26
9023,26
22335,26
9898,26
564,26
636,26
4064,26
9734,26
873,26
8112,26
1863,26
6665,26
3567,26
1027,26
7911,26
4111,26
4113,26
4155,26
8262,26
1515,26
54490,26
1991,26
505,26
7479,26
8162,26
5094,26
7493,26
